test.group,test.fold,train.groups,coef,variable
C,1,all,0.00128959954620998,K00002
C,1,all,0.00268732638097489,K00005
C,1,all,0.000129083511039399,K00010
C,1,all,-0.00521776082885831,K00021
C,1,all,-0.0031125369699854,K00040
C,1,all,0.0431509929887584,K00043
C,1,all,-0.000151484605061977,K00046
C,1,all,0.0072754016582768,K00061
C,1,all,-0.00279232797742641,K00082
C,1,all,-0.00101734992394715,K00100
C,1,all,-0.00105613704601605,K00122
C,1,all,-0.00105698815239212,K00133
C,1,all,-0.00117755818183176,K00171
C,1,all,-0.000188909154264475,K00211
C,1,all,0.0109812689305951,K00222
C,1,all,-0.00161914735328366,K00241
C,1,all,-6.23827242615285e-05,K00242
C,1,all,0.00140340993833922,K00245
C,1,all,0.00300300343853538,K00255
C,1,all,-0.00115239436134521,K00262
C,1,all,0.000593813727709856,K00270
C,1,all,0.0676997065504278,K00298
C,1,all,-0.000379163918193759,K00322
C,1,all,-0.00020457877663936,K00351
C,1,all,-0.0147235773019137,K00385
C,1,all,-0.0125206886395908,K00423
C,1,all,0.0169865749800558,K00430
C,1,all,-0.00562188153973101,K00524
C,1,all,0.0134904838666916,K00533
C,1,all,0.0115633623015629,K00534
C,1,all,-0.00516256079897187,K00561
C,1,all,-0.00398078981554377,K00630
C,1,all,-0.00116227405822483,K00638
C,1,all,0.000245551497682793,K00661
C,1,all,0.0130338337593333,K00686
C,1,all,-4.66834450048917e-06,K00697
C,1,all,0.00957960667294308,K00737
C,1,all,0.00197882877518769,K00766
C,1,all,0.00328725767705837,K00767
C,1,all,0.0255221415478363,K00785
C,1,all,0.00193079996059712,K00794
C,1,all,-2.06018625806206e-05,K00821
C,1,all,-0.0233858025776734,K00827
C,1,all,-0.00264868420779545,K00855
C,1,all,-0.0013838080872354,K00858
C,1,all,-0.0041619818394051,K00889
C,1,all,0.00314142870022533,K00895
C,1,all,0.000597270239242703,K00899
C,1,all,0.0186311813149116,K00927
C,1,all,-0.0010978759056048,K00946
C,1,all,5.49699975529684e-05,K00956
C,1,all,-0.000776330725233896,K00978
C,1,all,0.000296159672030333,K00980
C,1,all,0.00257806624551508,K00998
C,1,all,0.00291201096448343,K01028
C,1,all,0.000320836239090882,K01029
C,1,all,-0.000311975182045241,K01045
C,1,all,0.000404814962683991,K01060
C,1,all,-0.000514219131466116,K01091
C,1,all,0.000998397033203396,K01104
C,1,all,-0.00823206091047413,K01117
C,1,all,0.0066262339206155,K01150
C,1,all,-0.0161942585454617,K01188
C,1,all,0.00174332078212942,K01191
C,1,all,0.00926326827546404,K01202
C,1,all,-0.000701441703872979,K01214
C,1,all,-0.0104722063738946,K01216
C,1,all,0.000540770210860649,K01236
C,1,all,-0.000230135917926647,K01253
C,1,all,2.98524671673906e-06,K01278
C,1,all,-0.00645075597785733,K01312
C,1,all,-0.0142986963074837,K01340
C,1,all,0.00208724205388615,K01342
C,1,all,0.0868272916437624,K01347
C,1,all,0.00349457471280544,K01387
C,1,all,-0.00717574855111862,K01389
C,1,all,-0.0176832824117162,K01492
C,1,all,-4.63995312037417e-05,K01497
C,1,all,-0.0007411717986246,K01505
C,1,all,0.000306108394829963,K01507
C,1,all,-0.000174070138954724,K01547
C,1,all,0.000546018031668388,K01619
C,1,all,-0.00513082249549198,K01663
C,1,all,0.00148520381055299,K01679
C,1,all,0.00660199527514253,K01683
C,1,all,-0.00071325712545551,K01710
C,1,all,0.00149028075193424,K01730
C,1,all,-0.00034697322261657,K01790
C,1,all,0.000111582459420373,K01791
C,1,all,-0.00257459607196296,K01820
C,1,all,0.00316585756234363,K01826
C,1,all,0.00130216355384927,K01846
C,1,all,-0.00645473203022152,K01865
C,1,all,9.32512108091952e-05,K01870
C,1,all,-0.000335547401695442,K01874
C,1,all,0.000614053675465402,K01895
C,1,all,-0.011507753204132,K01900
C,1,all,0.00785406911570855,K01937
C,1,all,-6.33453158975687e-05,K01963
C,1,all,0.00103430003982253,K01966
C,1,all,8.15811543296189e-06,K01971
C,1,all,-0.00279850441793144,K02006
C,1,all,0.000104003077033411,K02010
C,1,all,0.00133378409974651,K02064
C,1,all,0.000217728697918191,K02067
C,1,all,0.00155815333688446,K02074
C,1,all,0.000144778855126931,K02080
C,1,all,-0.0040361842176616,K02168
C,1,all,-0.000920474983352147,K02192
C,1,all,0.00190342684555399,K02205
C,1,all,-0.000292943266201078,K02226
C,1,all,0.000290043397189483,K02274
C,1,all,-0.00402102139675406,K02294
C,1,all,-4.8753839278258e-05,K02305
C,1,all,-0.00203232574191554,K02351
C,1,all,-0.00314489908931642,K02381
C,1,all,0.000478726670331865,K02385
C,1,all,2.19869951959166e-05,K02387
C,1,all,0.000588020503061924,K02420
C,1,all,-0.000130890534516026,K02461
C,1,all,0.000112107470837761,K02476
C,1,all,-0.00252428333140991,K02479
C,1,all,0.000505860980057134,K02486
C,1,all,-0.00621077613575816,K02487
C,1,all,-0.00621505717401702,K02508
C,1,all,-0.00995293262004809,K02511
C,1,all,0.0110261090502617,K02528
C,1,all,-0.00434620104386458,K02538
C,1,all,-0.00145061756917972,K02549
C,1,all,-0.000968087529051426,K02566
C,1,all,0.00203546937197345,K02613
C,1,all,-0.00139975444902229,K02635
C,1,all,0.00860648959645052,K02661
C,1,all,8.14581773150509e-05,K02742
C,1,all,-4.20035319286339e-05,K02760
C,1,all,7.99477240453499e-08,K02770
C,1,all,-0.00121101812781288,K02805
C,1,all,0.00167288939164428,K02824
C,1,all,-0.00314622811009652,K02840
C,1,all,-7.4436490804761e-05,K02847
C,1,all,0.0150113051791539,K02892
C,1,all,7.38720551095427e-06,K02906
C,1,all,0.000121530138075103,K02946
C,1,all,0.00284180518480875,K02965
C,1,all,-0.0114242732470872,K02967
C,1,all,-0.00289629461392752,K03077
C,1,all,0.00565555084740546,K03170
C,1,all,0.0108909917840854,K03206
C,1,all,-0.000166488463275321,K03220
C,1,all,0.0287945812890018,K03287
C,1,all,-0.0380849349562399,K03290
C,1,all,7.98485166872237e-05,K03335
C,1,all,-0.00196908858616609,K03339
C,1,all,0.00159632020216615,K03343
C,1,all,-0.000127036616752363,K03379
C,1,all,2.36145052146387e-05,K03415
C,1,all,0.0116178862817062,K03444
C,1,all,0.000156569467091507,K03498
C,1,all,0.00142045557637095,K03524
C,1,all,0.000515839163539908,K03546
C,1,all,0.000500991486882107,K03570
C,1,all,0.00105372590232177,K03601
C,1,all,-8.18903081291948e-06,K03608
C,1,all,0.000275688813226679,K03624
C,1,all,0.00227101529901863,K03639
C,1,all,0.0023970477784804,K03647
C,1,all,0.000900713570644786,K03742
C,1,all,-0.00154552307100241,K03752
C,1,all,0.00524896891570708,K03812
C,1,all,0.00256718842089625,K03817
C,1,all,0.00122798506929428,K03819
C,1,all,0.00197269252633824,K03829
C,1,all,-0.00020946476005151,K03834
C,1,all,-0.00939774877145401,K03851
C,1,all,-0.00302399084285643,K03856
C,1,all,0.000112834074452286,K03862
C,1,all,-0.000338575487461253,K03892
C,1,all,-0.00133137024295733,K03895
C,1,all,-0.000627708039863783,K03972
C,1,all,-0.000122374879431916,K04044
C,1,all,0.000913577017819103,K04063
C,1,all,0.00144561567744886,K04068
C,1,all,0.00281034492596268,K04092
C,1,all,0.00841625223685391,K04117
C,1,all,-0.000505210395839725,K04127
C,1,all,0.0023630453789584,K04338
C,1,all,-0.000776698888939487,K04488
C,1,all,-0.000411504983384719,K04562
C,1,all,-0.000341782981227709,K04748
C,1,all,-4.12683561323212e-05,K04755
C,1,all,-0.00286656831612206,K04789
C,1,all,0.00843649873440305,K05346
C,1,all,-0.00101428419577602,K05396
C,1,all,0.0236748796415513,K05525
C,1,all,0.00078773079086834,K05551
C,1,all,0.00607392802849016,K05552
C,1,all,-0.000755508371347581,K05555
C,1,all,-0.00178136324224902,K05605
C,1,all,0.00181062754544683,K05739
C,1,all,0.00244937346342465,K05832
C,1,all,0.00131692919132216,K05833
C,1,all,0.003134879747546,K05834
C,1,all,0.00145134468602279,K05837
C,1,all,0.000902031626103468,K05881
C,1,all,0.000290141125702274,K05886
C,1,all,-0.000170832161350648,K05939
C,1,all,-1.37605057621236e-05,K05962
C,1,all,0.00390307487460015,K05986
C,1,all,0.013840541268395,K05998
C,1,all,-0.000519730259162338,K06135
C,1,all,0.0306947196690296,K06157
C,1,all,0.000941154220216728,K06183
C,1,all,-0.000755432119264017,K06192
C,1,all,0.000292434400126837,K06211
C,1,all,0.00306325152338256,K06257
C,1,all,0.000182292036293593,K06311
C,1,all,-0.00143974588691743,K06331
C,1,all,0.0289471892346516,K06342
C,1,all,-0.0124982476851229,K06344
C,1,all,0.000117259916912825,K06371
C,1,all,0.00189952697165016,K06425
C,1,all,0.00442299422420683,K06433
C,1,all,-0.000530030304397562,K06493
C,1,all,-0.000344356541074492,K06864
C,1,all,0.0027221433851935,K06882
C,1,all,0.00586252493366153,K06900
C,1,all,0.000414527304325613,K06911
C,1,all,0.00140919554270097,K06970
C,1,all,7.40256688113536e-06,K06975
C,1,all,0.000591945342854378,K06977
C,1,all,0.00219199849454131,K06987
C,1,all,-1.40317632506209e-05,K07004
C,1,all,0.000541050724650853,K07005
C,1,all,8.83451125379973e-05,K07015
C,1,all,-0.000141080050718741,K07018
C,1,all,-0.000210658823992697,K07019
C,1,all,0.000735884961014989,K07020
C,1,all,-0.00069744874946816,K07022
C,1,all,-8.14144179460929e-05,K07033
C,1,all,-0.000570555544283512,K07065
C,1,all,-1.25987256657069e-05,K07068
C,1,all,0.00173451427450633,K07074
C,1,all,-3.72940923085873e-05,K07075
C,1,all,-0.0010220967495186,K07089
C,1,all,0.00364410697423779,K07096
C,1,all,-7.30833875816511e-05,K07141
C,1,all,8.26520728179411e-05,K07175
C,1,all,-0.000719977876675173,K07178
C,1,all,0.00160915742432775,K07225
C,1,all,0.00212410477478929,K07238
C,1,all,0.0410233336831437,K07255
C,1,all,0.0240385923154859,K07256
C,1,all,9.15309209589771e-06,K07268
C,1,all,-0.0039445241541172,K07271
C,1,all,0.00429279842150318,K07272
C,1,all,0.00046695620558399,K07282
C,1,all,-0.000719105584813368,K07289
C,1,all,4.49656129746681e-05,K07291
C,1,all,0.00035003891126591,K07300
C,1,all,-8.35312426337947e-05,K07334
C,1,all,-0.00222395789719925,K07396
C,1,all,0.00187949618154813,K07452
C,1,all,-0.00019584086906557,K07458
C,1,all,-9.65966895846938e-05,K07483
C,1,all,-0.000700094270572424,K07493
C,1,all,-0.0223837053731738,K07505
C,1,all,0.000233501863029908,K07560
