comparison,train.groups,test.fold,test.group,experiment,iteration,uhash,nr,task_id,learner_id,resampling_id,regr.mse,algorithm,n.test,site,treatment
controls.between.experiments,all,1,dim,dim,1,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.000742654084266101,cv_glmnet,312,,
controls.between.experiments,all,1,qme,qme,2,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.00131703484095313,cv_glmnet,459,,
controls.between.experiments,all,2,dim,dim,3,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.000645743433373351,cv_glmnet,312,,
controls.between.experiments,all,2,qme,qme,4,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.00114372488983152,cv_glmnet,459,,
controls.between.experiments,all,3,dim,dim,5,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.000704792238506623,cv_glmnet,312,,
controls.between.experiments,all,3,qme,qme,6,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.00137266927801944,cv_glmnet,459,,
controls.between.experiments,all,4,dim,dim,7,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.000788404208060381,cv_glmnet,312,,
controls.between.experiments,all,4,qme,qme,8,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.00132431090897509,cv_glmnet,459,,
controls.between.experiments,all,5,dim,dim,9,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.000771238425568705,cv_glmnet,312,,
controls.between.experiments,all,5,qme,qme,10,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.00139631651710052,cv_glmnet,459,,
controls.between.experiments,all,6,dim,dim,11,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.000625765547723184,cv_glmnet,312,,
controls.between.experiments,all,6,qme,qme,12,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.00183998436655761,cv_glmnet,459,,
controls.between.experiments,all,7,dim,dim,13,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.000665753530261405,cv_glmnet,312,,
controls.between.experiments,all,7,qme,qme,14,c5b3fcfc-0ab8-4d91-9c42-e43c8141a130,1,qsip_pc2_all_new_controls.between.experiments,regr.cv_glmnet,same_other_cv,0.00187789516824832,cv_glmnet,459,,
